Título ,Emissor,Quantidade,Preço Unitário ,Valor investido ,Indexador,Percentual Indexado ,Data de Aplicação / Resgate,Vencimento
CDB FLU CDB425CTI84,BMG,10876,1.03343457,11239.63438332,CDI,1,2025-07-22,2026-01-28
CDB FLU CDB7250VFLX	,Banco Volkswagen,-1,1007.76549466,-1007.76549466,CDI,1.0025,2025-07-21,2026-07-01
CDB FLU CDB8241V8V0,Banco Volkswagen,-1,1121.43228186,-1121.43228186,CDI,1,2025-07-11,2025-08-05
LCA 24J02085651,Banco Bocom BBM SA,33,1090.09109,35973.00597,CDI,0.83,2025-07-09,2025-10-07
CDB FLU CDB8241V8V0,Banco Volkswagen,1,1120.19679,1120.19679,CDI,1,2025-07-09,2025-08-05
CDB FLU CDBC24AIAZK,BMG,-690,1.07551541,-742.1056328999999,CDI,1,2025-07-09,2025-12-23
CDB FLU CDB3235A1TY,BMG,-177,1.29481702,-229.18261254,CDI,"CDI + 1,65%",2025-07-09,2025-07-09
CDB FLU CDB5252E1SC,BMG,-488,1.02450252,-499.95722975999996,CDI,1,2025-07-04,2026-01-06
CDB FLU CDB5252E1SC,BMG,488,1.02450252,499.95722975999996,CDI,1,2025-07-04,2026-01-06
CDB FLU CDB7253NVRQ,Banco Volkswagen,27,1000.0,27000.0,CDI,1.0025,2025-07-04,2026-07-06
CDB FLU CDBC24AIAZK,BMG,690,1.07196461,739.6555809,CDI,1,2025-07-01,2025-12-23
CDB FLU CDB7250VFLX,Banco Volkswagen,11,1000.0,11000.0,CDI,1.0025,2025-07-01,2026-07-01
CDB FLU CDB3235A1TY,BMG,177,1.28845081,228.05579337,CDI,"CDI + 1,65%",2025-06-27,2025-07-09
CDB FLU CDB8241V8V0,Banco Volkswagen,14,1115.02264,15610.316959999998,CDI,1,2025-06-27,2025-08-05
CDB FLU CDB8243WIHN,Mercado Livre CFI,-9,1113.25728,-10019.31552,CDI,1,2025-06-23,2025-08-08
CDB FLU CDB8243WIHN,Mercado Livre CFI,33,1112.64387,36717.24771,CDI,1,2025-06-20,2025-08-08
CDB FLU CDB123MSXQP,Banco Master S/A,-5,1305.18136,-6525.906800000001,CDI,1.19,2025-03-07,2025-03-07
LCI 24B01906125,BRB,-10,1105.67776,-11056.777600000001,CDI,0.95,2025-02-26,2025-02-26
LCI 24D03249374,Banco Inter,10,1000.0,10000.0,IPCA,"IPCA + 5,45%",2024-04-22,2027-04-27
CDB FLU CDB22351UA1,Mercado Livre CFI,-3,1130.13317,-3390.39951,CDI,1.05,2024-04-12,2024-04-12
LCI 24B01906125,BRB,10,1000.0,10000.0,CDI,0.95,2024-02-26,2025-02-26
CDB FLU CDB123MSXQP,Banco Master S/A,5,1147.50951,5737.54755,CDI,1.19,2024-02-26,2025-03-07
CDB FLU CDBC23CS3CG,Banco Master de Investime,5,1006.23187553,5031.15937765,CDI,1.3071,2024-02-26,2029-12-26
CDB FLU CDB323O6TTY,Banco C6 Consignado S.A.,70,1000.0,70000.0,CDI,1.175,2023-08-22,2025-08-21
CDB FLU CDB22351UA1,Mercado Livre CFI,3,1000.0,3000.0,CDI,1.05,2023-04-13,2024-04-12
