Data,Ativo,Preço,Quantidade
2025-11-21 00:00:00,ETH,15451.91,0.71793972
2025-11-15 00:00:00,ETH,16780.35,-0.01787805
2025-11-14 00:00:00,ETH,17059.04,0.05861992
2025-11-04 00:00:00,ETH,19778.46,0.11492198
2025-11-03 00:00:00,ETH,970.5369,1.64857206
2025-11-03 00:00:00,ETH,20552.89,0.2870642
2025-11-03 00:00:00,ADA,3.268,489.59608323
2025-11-03 00:00:00,AVAX,99.0535,16.15288706
2025-09-02 00:00:00,ETH,23308.14,-0.01716138
2025-07-18 00:00:00,ADA,4.6993,628.74896261
2025-07-18 00:00:00,ADA,4.7317,625.93993702
2025-07-18 00:00:00,AVAX,135.9157,44.14501047
2025-07-12 00:00:00,ETH,16194.47,-0.01852483
2025-07-12 00:00:00,ETH,16217.2,-0.01849887
2025-07-12 00:00:00,ETH,16183.83,-0.03089503
2025-06-20 00:00:00,ETH,13617.83,-0.22029938
2025-06-20 00:00:00,ETH,14195.91,0.14235498
2025-06-11 00:00:00,ETH,15226.9,-0.0393007
2025-06-10 00:00:00,ETH,15474.18,-0.0258495
2025-06-08 00:00:00,ETH,13977.29,-0.03577231
2025-06-07 00:00:00,ETH,13984.13,-0.11083985
2025-05-28 00:00:00,ETH,14921.95,-0.06701535
2025-05-26 00:00:00,ETH,14429.54,-0.06930225
2025-05-23 00:00:00,ETH,14970.57,-0.0667977
2025-05-21 00:00:00,ETH,14819.58,0.20243482
2025-04-17 00:00:00,ETH,9562.89,0.3398552
2025-04-14 00:00:00,ETH,9733.07,-2
2025-03-15 00:00:00,ETH,11012.93,-0.00908023
2025-03-14 00:00:00,ETH,11121.36,0.27694533
2025-03-12 00:00:00,ETH,10932.77,1.0015759
2025-03-07 00:00:00,ETH,12881.52,0.1242088
2025-03-07 00:00:00,ETH,13051.56,0.3830957
2025-02-26 00:00:00,ETH,14108.66,0.10457471
2025-02-26 00:00:00,ETH,14299.75,0.76924397
2025-02-25 00:00:00,ETH,14475.4,0.55323365
2025-02-25 00:00:00,ETH,14352.05,0.12541759
2025-12-05 00:00:00,ETH,23768.21,0.46139902
2025-12-02 00:00:00,ETH,22814.09,0.8748764
2025-12-02 00:00:00,ETH,22861.21,0.18085307
2025-11-29 00:00:00,ETH,21865.33,0.2315987
2025-11-27 00:00:00,ETH,20862.88,0.28514662
2025-11-27 00:00:00,ETH,20422.14,0.13234704
2025-11-27 00:00:00,ETH,20528.72,1.3338177
2025-11-25 00:00:00,ETH,20591.69,0.5827921
2025-11-25 00:00:00,ETH,20647.66,0.29058972
2025-11-25 00:00:00,ETH,20445.85,0.06443749
2025-11-24 00:00:00,ETH,19671.82,0.16373668
2025-05-18 00:00:00,BTC,340253.77,-0.11578915
2025-05-18 00:00:00,ETH,15858.5,-0.83954508
2025-04-15 00:00:00,BTC,333555.03,0.002998
2025-04-14 00:00:00,ETH,16452.87,0.01215592
2025-04-14 00:00:00,ETH,16247.53,0.11078605
2025-04-14 00:00:00,ETH,16295.1,0.06136811
2025-04-13 00:00:00,ETH,17028.55,0.05872489
2025-03-20 00:00:00,ETH,16766.3,0.02982171
2025-03-19 00:00:00,ETH,16429.48,0.01217323
2025-03-19 00:00:00,ETH,16648.88,0.01201281
2025-03-19 00:00:00,ETH,17181.44,0.02910116
2025-03-19 00:00:00,BTC,327534.77,0.00183186
2025-03-17 00:00:00,BTC,332979.32,0.00150159
2025-03-17 00:00:00,ETH,17635.04,0.05670526
2025-03-16 00:00:00,BTC,335686.88,0.00265428
2025-03-16 00:00:00,BTC,335446.62,0.0059622
2025-03-16 00:00:00,ETH,17990.24,0.05558624
2025-03-15 00:00:00,ETH,18606.61,0.01074886
2025-03-15 00:00:00,ETH,18579.05,0.04305924
2025-03-15 00:00:00,BTC,341952.23,0.00058487
2025-03-15 00:00:00,BTC,347031.02,0.00028815
2025-03-15 00:00:00,BTC,340245.81,0.00293905
2025-03-15 00:00:00,BTC,341037.4,0.00234578
2025-03-14 00:00:00,ETH,19420.28,0.02574627
2025-03-14 00:00:00,ETH,19425.75,0.01029561
2025-03-14 00:00:00,ETH,19678.8,0.04065287
2025-03-14 00:00:00,BTC,354839.72,0.00140908
2025-03-14 00:00:00,BTC,356296.02,0.00140332
2025-01-24 00:00:00,ETH,11086.19,0.27060685
2025-01-23 00:00:00,BTC,196714.1,0.01016703
2025-01-18 00:00:00,BTC,206445.12,0.08170394
2025-01-08 00:00:00,BTC,228178.49,-0.1174253
2025-01-03 00:00:00,BTC,212641.47,0.01645963
2025-01-03 00:00:00,BTC,213530.7,0.01463958
2025-12-29 00:00:00,BTC,206955.71,0.04521798
2025-12-26 00:00:00,BTC,204985.97,0.01724835
2025-12-16 00:00:00,BTC,212425.14,0.00823818
2025-12-14 00:00:00,BTC,211596.26,0.01078615
2025-12-13 00:00:00,BTC,206806.69,0.00483543
-,-,-,-
