Data,Ativo,Preço,Quantidade,Mercado
2025-11-12 00:00:00,VXM,1845,-1,Internacional
2025-11-11 00:00:00,VXM,1855,1,Internacional
2025-11-07 00:00:00,VXM,2065,-2,Internacional
2025-11-05 00:00:00,VXM,2012,-1,Internacional
2025-10-24 00:00:00,VXM,1841,1,Internacional
2025-10-24 00:00:00,VXM,1852,2,Internacional
2025-10-15 00:00:00,XAUUSD,4226.34,2,Internacional
2025-10-10 00:00:00,EUR.JPY,175.68,-1.0752,Internacional
2025-10-08 00:00:00,XAUUSD,4040,-2,Internacional
2025-10-07 00:00:00,ADBE,351.9,5.05872,Internacional
2025-10-06 00:00:00,USD.JPY,150.22,3739,Internacional
2025-10-06 00:00:00,USD.JPY,149.8,1000,Internacional
2025-10-03 00:00:00,UVXY,10.56,183.99022,Internacional
2025-09-25 00:00:00,USD.JPY,148.72,-2039,Internacional
2025-09-23 00:00:00,XAUUSD,3784.06,-1,Internacional
2025-09-15 00:00:00,UVXY,10.74,85.823,Internacional
2025-08-13 00:00:00,UVXY,13.37,266.22961,Internacional
2025-08-13 00:00:00,USD.JPY,147.18,-1000,Internacional
2025-08-13 00:00:00,XAUUSD,3354.13,1,Internacional
2025-08-12 00:00:00,USD.JPY,147.77,-1700,Internacional
2025-08-08 00:00:00,UVXY,14.6,6.05755,Internacional
2025-07-17 00:00:00,UCO,23.94,-69.60591,Internacional
2025-06-23 00:00:00,UCO,25.36,69.60591,Internacional
2025-05-20 00:00:00,SMSN,1001,-5,Internacional
2025-05-19 00:00:00,UBER,91.82,-109.8432,Internacional
2025-05-19 00:00:00,UBER,91.8,-90,Internacional
2025-05-19 00:00:00,ADBE,417.61,-6,Internacional
2025-05-19 00:00:00,ARGT,94.24,-47.3653,Internacional
2025-05-19 00:00:00,AAPL,206.95,-11.12017,Internacional
2025-05-01 00:00:00,SMSN,974.5,-2,Internacional
2025-05-01 00:00:00,ADBE,376.98,-2,Internacional
2025-05-01 00:00:00,AAPL,211.65,-25,Internacional
2025-05-01 00:00:00,UBER,80.89,-81,Internacional
2025-05-01 00:00:00,FXY,63.67,-60.16209,Internacional
2025-05-01 00:00:00,VIOO,92.48,-1.92631,Internacional
2025-05-01 00:00:00,SPY,559.33,-0.29181,Internacional
2025-04-14 00:00:00,SMSN,988.5,-2,Internacional
2025-04-14 00:00:00,SMSN,985.5,-2,Internacional
2025-04-09 00:00:00,SPY,497.31,0.29181,Internacional
2025-04-09 00:00:00,ADBE,336.1,0.23802,Internacional
2025-04-09 00:00:00,VIOO,83.06,1.92631,Internacional
2025-04-09 00:00:00,UBER,66.72,5.99542,Internacional
2025-03-24 00:00:00,SMSN,1027,-1,Internacional
2025-03-24 00:00:00,AAPL,220.06,-5,Internacional
2025-03-24 00:00:00,DJIA,22.2,-180,Internacional
2025-03-05 00:00:00,SMSN,935.5,-1,Internacional
2025-03-05 00:00:00,SMSN,936,1,Internacional
2025-02-10 00:00:00,UBER,78.91,-56,Internacional
2025-02-05 00:00:00,UBER,64.31,129.22267,Internacional
2025-01-28 00:00:00,SMSN,893,2,Internacional
2025-01-27 00:00:00,SMSN,894,4,Internacional
2025-01-23 00:00:00,SMSN,928.5,1,Internacional
2025-01-17 00:00:00,SMSN,918.5,1,Internacional
2025-01-17 00:00:00,FXY,59.09,7.98547,Internacional
2025-01-17 00:00:00,FXY,59.22,52.17662,Internacional
2025-01-16 00:00:00,SMSN,931.5,1,Internacional
2025-01-15 00:00:00,SMSN,915,1,Internacional
2025-01-15 00:00:00,SMSN,911.5,1,Internacional
2025-01-15 00:00:00,ADBE,417.95,0.47494,Internacional
2025-01-14 00:00:00,SMSN,919.5,1,Internacional
2025-01-02 00:00:00,ADBE,407.89,1.21672,Internacional
2025-01-02 00:00:00,ARGT,84.45,47.3653,Internacional
2025-01-02 00:00:00,UBER,62.28,240.84778,Internacional
2025-01-02 00:00:00,ADBE,449.28,11.12904,Internacional
2025-01-02 00:00:00,DJIA,22.52,180,Internacional
2025-01-02 00:00:00,XP,11.71,-497.16504,Internacional
2025-12-30 00:00:00,AAPL,252.82,-28,Internacional
2025-11-25 00:00:00,AAPL,232.08,-21,Internacional
2025-08-06 00:00:00,XP,16.17,106.43232,Internacional
2025-07-19 00:00:00,XP,18,390.73272,Internacional
2025-05-20 00:00:00,AMZN,183.64,-37.21326,Internacional
2025-01-22 00:00:00,XOM,96.74,-8.26613,Internacional
2025-11-01 00:00:00,AAPL,173.56,4.2569,Internacional
2025-09-29 00:00:00,AMZN,128.57,15.09092,Internacional
2025-09-25 00:00:00,AMZN,130.19,0.06744,Internacional
2025-09-25 00:00:00,AMZN,130.33,7.67294,Internacional
2025-09-14 00:00:00,AAPL,175.09,3.53011,Internacional
2025-09-11 00:00:00,AAPL,178.58,1.69858,Internacional
